datetime,open,high,low,close,volume
2026-07-16 09:45:00,24071.15,24090.15,24050.45,24081.1,0
2026-07-17 03:45:00,24127.6,24231.45,24100.9,24230.4,0
2026-07-17 04:15:00,24231.3,24248.95,24210.25,24239.35,0
2026-07-17 04:45:00,24239.85,24288.35,24238.2,24259.3,0
2026-07-17 05:15:00,24259.1,24264.15,24230.9,24235.9,0
2026-07-17 05:45:00,24235.7,24269.0,24232.65,24267.25,0
2026-07-17 06:15:00,24267.2,24283.2,24260.7,24276.75,0
2026-07-17 06:45:00,24276.55,24286.35,24259.75,24277.05,0
2026-07-17 07:15:00,24277.05,24297.3,24270.7,24282.75,0
2026-07-17 07:45:00,24282.55,24283.6,24245.9,24254.3,0
2026-07-17 08:15:00,24254.25,24284.45,24213.45,24281.6,0
2026-07-17 08:45:00,24280.55,24367.15,24280.55,24318.25,0
2026-07-17 09:15:00,24317.65,24338.25,24311.2,24329.35,0
2026-07-17 09:45:00,24328.75,24352.65,24320.3,24343.65,0
2026-07-20 03:45:00,24190.05,24261.6,24159.6,24171.45,0
2026-07-20 04:15:00,24170.6,24219.4,24157.5,24209.95,0
2026-07-20 04:45:00,24210.4,24239.2,24207.35,24218.45,0
2026-07-20 05:15:00,24218.4,24234.9,24211.05,24214.6,0
2026-07-20 05:45:00,24215.45,24224.8,24194.95,24196.0,0
2026-07-20 06:15:00,24196.45,24197.15,24174.25,24187.7,0
2026-07-20 06:45:00,24187.7,24199.9,24156.05,24157.2,0
2026-07-20 07:15:00,24157.4,24226.0,24136.25,24225.0,0
2026-07-20 07:45:00,24224.75,24250.05,24212.4,24228.8,0
2026-07-20 08:15:00,24228.25,24265.55,24227.15,24250.9,0
2026-07-20 08:45:00,24250.55,24259.1,24224.75,24237.1,0
2026-07-20 09:15:00,24237.1,24251.0,24228.4,24238.15,0
2026-07-20 09:45:00,24240.15,24248.45,24233.35,24239.5,0
2026-07-21 03:45:00,24216.05,24262.2,24206.85,24236.25,0
2026-07-21 04:15:00,24236.95,24240.9,24211.75,24212.9,0
2026-07-21 04:45:00,24212.3,24214.7,24174.4,24188.95,0
2026-07-21 05:15:00,24187.8,24196.6,24163.9,24186.4,0
2026-07-21 05:45:00,24186.5,24188.7,24159.65,24161.25,0
2026-07-21 06:15:00,24161.65,24183.7,24158.35,24173.1,0
2026-07-21 06:45:00,24173.65,24190.5,24167.7,24172.55,0
2026-07-21 07:15:00,24172.8,24177.3,24135.9,24151.75,0
2026-07-21 07:45:00,24151.55,24195.3,24148.4,24190.5,0
2026-07-21 08:15:00,24190.45,24192.5,24158.45,24164.05,0
2026-07-21 08:45:00,24163.25,24180.5,24154.3,24172.7,0
2026-07-21 09:15:00,24173.0,24197.2,24164.85,24183.85,0
2026-07-21 09:45:00,24184.1,24196.15,24182.1,24193.95,0
2026-07-22 03:45:00,24146.9,24164.65,24016.4,24027.0,0
2026-07-22 04:15:00,24028.35,24052.75,24008.9,24033.45,0
2026-07-22 04:45:00,24033.8,24033.8,23973.85,23989.2,0
2026-07-22 05:15:00,23991.6,24030.8,23988.25,24013.7,0
2026-07-22 05:45:00,24015.2,24050.65,24012.9,24046.25,0
2026-07-22 06:15:00,24046.8,24049.0,23995.25,23996.25,0
2026-07-22 06:45:00,23997.85,23999.8,23961.6,23983.25,0
2026-07-22 07:15:00,23985.1,24017.05,23968.3,23978.85,0
2026-07-22 07:45:00,23980.45,24014.4,23973.15,23995.35,0
2026-07-22 08:15:00,23996.45,23996.55,23964.6,23973.35,0
2026-07-22 08:45:00,23975.25,23992.05,23968.5,23976.3,0
2026-07-22 09:15:00,23978.45,24023.95,23973.35,24021.15,0
2026-07-22 09:45:00,24021.6,24024.8,23990.8,23991.05,0
2026-07-23 03:45:00,23904.8,23951.5,23876.75,23907.85,0
2026-07-23 04:15:00,23907.6,23969.75,23901.45,23958.25,0
